TEAM_NAME,TEAM_ID,RIM_PCT,MID_PCT,SUM_USAGE,EFG_PCT,FTA_RATE,OREB_PCT,TM_TOV_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,PACE,PCT_FGA_3PT,BENCH_PTS_PCT
Atlanta Hawks,1610612737,1.01799,0.06917,-0.66443,-0.53339,1.09748,0.26007,1.58366,-1.15801,-1.27198,-0.17141,0.89694,0.34512,-0.15316,-0.12259
Boston Celtics,1610612738,0.02684,-1.12254,0.18206,0.60571,0.09977,-0.66972,-0.6261,0.77377,-0.06194,0.61421,1.5814,0.10725,1.62551,-0.66284
Brooklyn Nets,1610612751,0.89409,-1.86223,-0.1001,-0.37066,0.82538,-1.39737,1.7678,-1.44303,0.84559,-1.55219,-0.27949,2.07071,1.15967,1.99682
Charlotte Hornets,1610612766,-0.65457,0.19246,-0.64428,-0.69612,0.37187,-1.15482,-2.19134,0.07706,0.11092,-0.00476,0.68304,-0.45064,0.39738,0.29298
Chicago Bulls,1610612741,-0.31386,1.2198,0.08129,-1.45552,-0.53513,1.43241,-0.2578,-0.52464,-0.83983,0.06666,0.10552,-0.4074,-1.27542,-0.08104
Cleveland Cavaliers,1610612739,-0.65457,-0.4445,0.82702,1.79905,0.19047,-0.46759,-0.2578,1.47048,0.67273,0.73324,-0.2581,-0.09601,1.75256,-1.4732
Dallas Mavericks,1610612742,-2.94659,1.09652,-0.80552,-0.47914,-2.07705,-2.40801,-1.45475,-1.09468,-0.19159,-0.71896,-0.10837,-1.66591,1.05379,-0.06026
Denver Nuggets,1610612743,1.51356,-1.102,-1.87372,0.87693,0.23582,1.55369,0.66293,1.28046,1.53704,0.09047,0.7686,0.95924,0.27033,0.52154
Detroit Pistons,1610612765,-1.52182,1.1787,-0.92645,-1.1843,-2.3945,0.42177,-1.82305,-0.90466,-0.62375,-0.33805,-1.04951,-0.62364,-1.1272,-0.14337
Golden State Warriors,1610612744,0.18171,-0.4034,0.22237,2.66694,-0.53513,-0.14418,0.29463,2.10385,-2.04987,2.7092,2.69366,1.47389,0.90557,-1.07841
Houston Rockets,1610612745,1.11091,-2.88957,1.29057,1.69057,1.50563,0.21965,0.66293,1.88217,0.11092,1.35222,1.00388,1.55174,3.08656,0.08519
Indiana Pacers,1610612754,-1.05722,1.15816,-0.1001,0.11753,-0.44443,-0.83142,-0.16573,-0.08128,-0.01873,-0.05237,-0.15115,-0.16088,-0.93663,-0.39272
LA Clippers,1610612746,-0.31386,0.70613,-0.62412,1.25663,1.86843,-0.79099,-0.90232,1.15379,-0.27802,1.04273,-0.19393,-0.08304,0.27033,0.35531
Los Angeles Lakers,1610612747,0.46047,-0.52668,-1.08768,-0.69612,-0.53513,0.34092,0.93915,-0.90466,1.66669,-1.59981,-1.00674,0.99384,-0.44961,2.39162
Memphis Grizzlies,1610612763,-0.0351,-0.23903,-0.07995,-1.23854,0.41722,0.7856,-0.53402,-0.3663,-0.71018,0.11427,0.10552,-1.78268,-0.00494,0.854
Miami Heat,1610612748,-0.09705,-0.38286,-0.48304,-0.09945,-0.89794,0.34092,-0.2578,-0.23963,-0.7534,0.23331,-0.75006,-0.62796,-0.04729,0.81244
Milwaukee Bucks,1610612749,1.91621,-0.85543,-0.18072,0.7142,0.14512,-0.62929,0.29463,0.10873,0.24057,-0.05237,0.9611,-0.85285,-0.55548,0.854
Minnesota Timberwolves,1610612750,0.36755,1.09652,0.22237,-0.15369,0.73468,1.35156,0.29463,0.58376,1.19131,-0.21902,0.44775,-0.64093,-1.42365,-2.47057
New Orleans Pelicans,1610612740,-0.25192,0.11027,2.7014,-0.53339,-0.67119,-1.92291,-1.27061,-1.09468,-0.58053,-0.5047,0.06274,0.6911,-0.17434,0.41765
New York Knicks,1610612752,-0.159,1.32253,-0.12026,-0.96733,-1.44214,1.18986,0.01841,-0.33463,1.10488,-0.8618,-0.60033,-0.14358,-0.7884,-0.6005
Oklahoma City Thunder,1610612760,1.76134,-0.62942,2.56032,-0.75036,1.09748,1.91752,0.84707,-0.08128,-0.45088,0.18569,-1.00674,0.52676,-0.44961,0.08519
Orlando Magic,1610612753,-0.9643,0.5212,-1.53109,-1.34703,-1.12469,-0.34631,-0.53402,-1.41136,0.93202,-1.55219,0.01996,-0.02681,-0.34374,0.12675
Philadelphia 76ers,1610612755,0.73923,-0.93762,1.08903,-0.69612,-0.58048,-0.10376,2.22817,-1.72805,0.02449,-1.31413,1.11083,0.91167,0.69382,1.10334
Phoenix Suns,1610612756,0.46047,0.70613,0.18206,-1.13006,1.18818,0.9473,0.84707,-0.65132,1.36418,-1.24271,-1.88371,1.68148,-1.2966,-0.16415
Portland Trail Blazers,1610612757,0.21268,-0.0952,0.52469,0.3345,0.19047,-0.26546,-0.34988,0.39375,0.80237,-0.1476,-0.96396,0.18078,0.12211,-1.05763
Sacramento Kings,1610612758,-0.159,0.06917,-0.76521,0.11753,0.59862,-0.71014,0.84707,-0.49297,1.1481,-1.00464,0.31942,-0.66688,-0.53431,0.47999
San Antonio Spurs,1610612759,-1.33598,1.50745,0.16191,0.55147,-0.35373,0.26007,-0.16573,0.67876,-2.26595,1.75693,0.57609,-0.90907,-0.74606,0.72933
Toronto Raptors,1610612761,-0.71651,0.39792,0.68593,0.17177,1.00678,0.6239,-0.99439,1.02712,-0.45088,1.01892,-2.29011,-0.67121,-0.57666,-0.78751
Utah Jazz,1610612762,0.36755,-0.52668,-0.96675,0.65995,0.78003,-0.22504,0.47878,0.26707,-1.48806,1.01892,-0.75006,-2.10704,0.22798,-0.20571
Washington Wizards,1610612764,0.15074,0.66503,0.22237,0.76844,-0.76189,0.42177,0.01841,0.71043,0.28378,0.39995,-0.04421,0.42296,-0.68253,-1.80566
