TEAM_NAME,RIM_PCT,MID_PCT,SUM_USAGE,EFG_PCT,FTA_RATE,OREB_PCT,TM_TOV_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,PACE,PCT_FGA_3PT,BENCH_PTS_PCT
Cleveland Cavaliers,-0.01655,-0.80638,0.28502,1.77448,-0.13093,0.12737,-1.0692,1.96553,-0.6253,1.57176,-0.15645,0.38066,1.00583,0.27443
Golden State Warriors,-1.00934,-0.51936,0.15989,-0.35693,0.06879,0.82919,-0.16053,0.13963,-0.89092,0.5467,2.1351,-0.10928,1.34298,1.4303
Golden State Warriors,-1.00934,-0.51936,0.15989,-0.35693,0.06879,0.82919,-0.16053,0.13963,-0.89092,0.5467,2.1351,-0.10928,1.34298,1.4303
Toronto Raptors,1.56572,-0.47836,-0.13208,-1.06739,-0.73009,0.71222,0.839,-1.09554,-0.02767,-0.70046,1.33444,0.54224,-1.35422,0.33527
Los Angeles Lakers,-0.10962,0.13667,1.4529,0.70878,1.86627,-0.7694,-0.06966,0.35444,0.03874,0.20501,-0.04602,-0.64614,0.10676,-1.65201
Milwaukee Bucks,-0.0786,2.06377,1.36948,1.267,1.66655,-2.25103,-0.88747,0.38129,-0.32649,0.41002,-0.81907,0.17739,0.07867,0.01082
Golden State Warriors,-1.00934,-0.51936,0.15989,-0.35693,0.06879,0.82919,-0.16053,0.13963,-0.89092,0.5467,2.1351,-0.10928,1.34298,1.4303
Boston Celtics,-1.53676,-0.43736,0.70212,0.91177,-2.06155,-0.06758,-1.887,1.56276,-1.18974,1.60593,-0.23928,-1.55827,3.2254,-1.02338
Denver Nuggets,1.7829,0.46469,-0.61175,1.52074,1.06739,0.71222,-0.2514,1.40165,0.47036,0.6492,1.27922,0.5683,-1.83185,-1.91562
Oklahoma City Thunder,-0.51294,0.46469,1.18178,0.86102,-1.52896,-0.45748,-2.43221,1.4822,-2.3518,2.16971,-0.95711,0.68818,-0.06181,-0.43531
