TEAM_NAME,TEAM_ID,RIM_PCT,MID_PCT,SUM_USAGE,EFG_PCT,FTA_RATE,OREB_PCT,TM_TOV_PCT,OFF_RATING_x,DEF_RATING_x,NET_RATING_x,AST_PCT_x,PACE_x,OFF_RATING_y,DEF_RATING_y,NET_RATING_y,AST_PCT_y,PACE_y,BENCH_PTS_PCT
Atlanta Hawks,1610612737,0.34984833164812945,0.19731330348114978,0.6,0.516,0.237,0.234,0.152,104.6,100.8,3.9,0.663,97.63,104.6,100.8,3.9,0.663,97.63,0.336060713862208
Boston Celtics,1610612738,0.3425799398742826,0.227794479365947,0.5,0.488,0.264,0.29,0.138,105.8,102.5,3.3,0.616,99.43,105.8,102.5,3.3,0.616,99.43,0.35632714269235205
Brooklyn Nets,1610612751,0.3161849710982659,0.2651734104046243,0.5,0.492,0.246,0.279,0.153,102.4,109.7,-7.4,0.583,96.12,102.4,109.7,-7.4,0.583,96.12,0.33069600692298184
Charlotte Hornets,1610612766,0.2929789078301069,0.22984686506789945,0.5,0.502,0.28,0.244,0.129,106.4,103.7,2.7,0.586,96.24,106.4,103.7,2.7,0.586,96.24,0.36289656799150843
Chicago Bulls,1610612741,0.32315202231520224,0.2889818688981869,0.5,0.487,0.24,0.29,0.142,104.1,105.5,-1.4,0.591,96.6,104.1,105.5,-1.4,0.591,96.6,0.33425314937012596
Cleveland Cavaliers,1610612739,0.29834494773519166,0.21297909407665505,0.6,0.524,0.259,0.294,0.143,110.2,103.9,6.3,0.587,93.82,110.2,103.9,6.3,0.587,93.82,0.26966686148451197
Dallas Mavericks,1610612742,0.27115942028985507,0.2514492753623188,0.4,0.502,0.265,0.241,0.132,105.5,105.9,-0.4,0.592,95.34,105.5,105.9,-0.4,0.592,95.34,0.35252742012398663
Denver Nuggets,1610612743,0.3829787234042553,0.20762530344138228,0.5,0.489,0.282,0.304,0.151,104.9,108.2,-3.3,0.601,96.34,104.9,108.2,-3.3,0.601,96.34,0.39940155595451826
Detroit Pistons,1610612765,0.3149428531113306,0.2085508677860872,0.5,0.491,0.296,0.313,0.14,105.3,104.9,0.3,0.512,95.75,105.3,104.9,0.3,0.512,95.75,0.2569070685324722
Golden State Warriors,1610612744,0.3265819248498394,0.18745634865204638,0.6,0.563,0.25,0.267,0.15,113.5,102.8,10.6,0.68,100.24,113.5,102.8,10.6,0.68,100.24,0.2935994055832714
Houston Rockets,1610612745,0.36103402950197166,0.131298378852052,0.5,0.516,0.352,0.297,0.161,107.3,107.3,0.0,0.589,98.42,107.3,107.3,0.0,0.589,98.42,0.30697035595742245
Indiana Pacers,1610612754,0.2997852541159628,0.30293486041517537,0.5,0.497,0.268,0.271,0.151,103.8,102.2,1.6,0.554,97.35,103.8,102.2,1.6,0.554,97.35,0.3318610481079145
LA Clippers,1610612746,0.2782956058588549,0.28303003402870247,0.6,0.524,0.318,0.234,0.133,107.2,102.7,4.5,0.596,96.81,107.2,102.7,4.5,0.596,96.81,0.36316956471000117
Los Angeles Lakers,1610612747,0.28737780333525015,0.2665324899367453,0.5,0.46,0.292,0.271,0.142,100.7,110.3,-9.7,0.513,96.55,100.7,110.3,-9.7,0.513,96.55,0.361688799799549
Memphis Grizzlies,1610612763,0.3478641201341303,0.2554308208193614,0.4,0.477,0.295,0.298,0.14,104.7,107.1,-2.4,0.562,93.95,104.7,107.1,-2.4,0.562,93.95,0.38309131183854295
Miami Heat,1610612748,0.3317903538898014,0.2771390174705092,0.5,0.508,0.282,0.28,0.148,105.5,103.7,1.7,0.543,94.14,105.5,103.7,1.7,0.543,94.14,0.29509995124329597
Milwaukee Bucks,1610612749,0.40118694362017804,0.2454005934718101,0.4,0.499,0.276,0.286,0.159,103.4,107.8,-4.5,0.603,95.05,103.4,107.8,-4.5,0.603,95.05,0.27665599606008373
Minnesota Timberwolves,1610612750,0.32933413317336535,0.3239352129574085,0.5,0.498,0.332,0.279,0.155,105.4,109.0,-3.5,0.619,96.2,105.4,109.0,-3.5,0.619,96.2,0.3488925934746368
