TEAM_NAME,TEAM_ID,RIM_PCT,MID_PCT,SUM_USAGE,EFG_PCT,FTA_RATE,OREB_PCT,TM_TOV_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,PACE,PCT_FGA_3PT,BENCH_PTS_PCT
Atlanta Hawks,1610612737,-0.17708,-0.2814,0.20279,0.05557,1.38874,1.09635,-0.43842,0.68631,0.17535,0.45781,-0.29594,-0.56568,-0.23428,-1.03061
Boston Celtics,1610612738,-0.86737,0.07405,0.8137,0.26398,-0.57393,1.37461,0.28724,0.36792,0.04492,0.24845,-0.97887,-0.42823,0.40683,-1.45371
Brooklyn Nets,1610612751,0.21309,-0.60723,1.11915,1.9312,0.49662,-0.68452,-0.34771,1.48228,0.61009,0.87655,0.52358,0.27491,0.5018,-0.60752
Charlotte Hornets,1610612766,0.84336,-0.90344,-1.80812,-0.30913,-0.39551,0.65113,1.0129,-0.42806,0.13187,-0.40059,1.91676,-0.39651,0.71551,-0.15188
Chicago Bulls,1610612741,0.39317,0.10367,0.96642,0.47238,-2.22437,0.15026,1.19431,-0.34846,-0.0855,-0.23309,0.90602,-0.08987,-0.21054,-0.21697
Cleveland Cavaliers,1610612739,1.44362,-0.93307,-0.63721,-1.55954,0.63044,0.87374,1.73856,-1.72815,0.78398,-1.74053,0.44163,-0.94633,-1.06534,-1.03061
Dallas Mavericks,1610612742,-1.1675,0.19254,1.34824,0.62868,-0.21708,-0.62887,-1.34549,0.7659,0.26229,0.47875,-1.22472,-0.9569,1.04793,0.36885
Denver Nuggets,1610612743,-0.53723,0.45913,-0.33176,0.99338,-1.24303,1.54156,-0.1663,1.21695,-0.0855,1.00217,0.52358,-1.06263,-0.21054,-1.35607
Detroit Pistons,1610612765,0.84336,-0.6961,-0.61176,-0.98644,1.16571,0.15026,1.19431,-1.09137,0.21882,-0.94494,0.66017,-0.82473,-0.16305,2.12632
Golden State Warriors,1610612744,-0.41718,-0.25178,0.5337,0.68078,-0.3509,-2.35408,0.74078,-0.32193,-0.99846,0.22751,1.86212,1.61774,1.11917,-0.15188
Houston Rockets,1610612745,1.14349,-1.49587,0.38097,-0.88224,0.22898,-1.35235,0.65007,-1.25056,1.17525,-1.5521,-0.02276,1.02563,1.59406,-0.34715
Indiana Pacers,1610612754,1.83379,-0.78496,-0.50994,0.21188,-0.88618,-0.96278,-0.61983,0.04953,0.0884,0.01815,0.85139,1.21595,-0.47173,-0.24952
LA Clippers,1610612746,-1.19751,1.19966,0.55915,1.35809,-1.10921,0.31722,-0.257,1.32308,-0.47677,1.27434,-0.48716,-1.12079,0.19312,0.79195
Los Angeles Lakers,1610612747,1.02344,0.45913,1.04279,-0.10073,1.0765,0.26156,1.28502,-0.50765,-2.12879,0.60437,0.14114,-0.47581,-0.68543,1.50795
Memphis Grizzlies,1610612763,-0.32714,-0.96269,-0.84085,-0.51753,-0.66315,1.152,-0.61983,-0.00354,-0.52024,0.24845,0.7148,0.53925,-1.18407,0.7594
Miami Heat,1610612748,-0.14706,-0.22216,-0.28085,0.42028,0.22898,-1.35235,0.55936,-0.29539,-0.43329,-0.02373,1.88944,-1.40627,0.95295,-0.11933
Milwaukee Bucks,1610612749,-0.26711,0.63685,0.45733,1.46229,-0.61854,0.26156,-0.34771,1.27002,-0.43329,1.21153,-0.89691,1.63889,0.2881,-1.06316
Minnesota Timberwolves,1610612750,1.26354,-0.99231,0.33006,-0.93434,0.31819,0.37287,0.10583,-0.64032,1.21873,-1.11243,0.76943,1.16837,0.5018,1.21504
New Orleans Pelicans,1610612740,2.40403,-0.25178,0.2537,-0.04863,2.05784,2.09808,0.55936,0.34138,0.69704,-0.0656,0.27772,0.41765,-1.18407,-1.25843
New York Knicks,1610612752,-0.11705,1.08117,-0.48449,-0.72594,-0.21708,-0.0167,-0.43842,-0.40152,-1.69404,0.49969,-1.60716,-1.81335,-1.06534,0.88958
Oklahoma City Thunder,1610612760,0.84336,-1.17003,-0.43358,-1.50744,-0.21708,-0.57322,1.82926,-2.36492,0.74051,-2.22208,-0.92423,0.98333,0.16938,1.4754
Orlando Magic,1610612753,-1.46763,1.61435,-2.31721,-2.49736,-0.3063,-0.68452,-0.80125,-1.88734,0.95788,-1.9499,-0.8696,-0.30663,-0.85164,1.37777
Philadelphia 76ers,1610612755,-0.38717,1.05155,0.89006,0.15978,2.05784,0.70678,0.46865,0.20872,-2.04184,1.14872,-0.81496,0.19561,-1.06534,0.20612
Phoenix Suns,1610612756,-1.67772,1.55511,-0.40812,1.35809,-1.55527,-0.90713,-1.07337,1.21695,-0.56372,1.23247,0.5509,-0.92518,0.00317,-0.0217
Portland Trail Blazers,1610612757,-0.56724,0.66648,0.38097,0.10767,-0.39551,0.48417,-2.34327,1.42921,1.56652,0.37407,-2.37204,-0.41237,1.33287,-0.7377
Sacramento Kings,1610612758,-0.17708,-0.6961,-0.5863,0.57658,0.05055,-0.62887,-0.43842,0.26179,2.08821,-0.79838,-0.0774,0.50753,-0.37675,-1.12825
San Antonio Spurs,1610612759,-0.38717,2.11791,-1.78267,-1.09064,-0.17248,-1.18539,-2.25257,-0.32193,0.13187,-0.31684,-0.48716,-0.1586,-1.84892,0.98722
Toronto Raptors,1610612761,-0.11705,-0.78496,-1.47721,-0.46543,-0.26169,-0.46191,-0.43842,-0.03007,0.13187,-0.08654,0.14114,-0.09516,1.23789,-1.68153
Utah Jazz,1610612762,-1.31757,-1.73284,1.45006,1.30599,-0.12787,1.09635,0.37795,1.27002,-1.82447,1.88151,-0.78765,-0.2009,2.28265,0.4014
Washington Wizards,1610612764,-0.9274,1.55511,1.78097,-0.36123,1.83481,-0.79583,-0.07559,-0.26886,0.26229,-0.33778,-0.32325,2.60108,-1.7302,0.49903
